"","Phylum","Class","Order","Family","Genus","Species","Subspecies","Strain","GOLD_Organism_ID","GOLD_Project_ID","IMG_Genome_ID","NCBI_Taxonomy_ID","NCBI_Phylum","NCBI_Class","NCBI_Order","NCBI_Family","NCBI_Genus","NCBI_Species","Article_Url","Metabolic_Traits","AI_Predicted"
"1312","Tenericutes","Mollicutes","Acholeplasmatales","Incertae sedis â<U+0080><U+0093> Family II","Candidatus Phytoplasma","solani","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01259.pub3","NA:NA:NA:NA:NA:NA","N"
"1313","Tenericutes","Mollicutes","Acholeplasmatales","Incertae sedis â<U+0080><U+0093> Family II","Candidatus Phytoplasma","spartii","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01259.pub3","NA:NA:NA:NA:NA:NA","N"
"1314","Tenericutes","Mollicutes","Acholeplasmatales","Incertae sedis â<U+0080><U+0093> Family II","Candidatus Phytoplasma","sudamericanum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01259.pub3","NA:NA:NA:NA:NA:NA","N"
"1315","Tenericutes","Mollicutes","Acholeplasmatales","Incertae sedis â<U+0080><U+0093> Family II","Candidatus Phytoplasma","tamaricis","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01259.pub3","NA:NA:NA:NA:NA:NA","N"
"1316","Tenericutes","Mollicutes","Acholeplasmatales","Incertae sedis â<U+0080><U+0093> Family II","Candidatus Phytoplasma","trifolii","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01259.pub3","NA:NA:NA:NA:NA:NA","N"
"1317","Tenericutes","Mollicutes","Acholeplasmatales","Incertae sedis â<U+0080><U+0093> Family II","Candidatus Phytoplasma","ulmi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01259.pub3","NA:NA:NA:NA:NA:NA","N"
"1318","Tenericutes","Mollicutes","Acholeplasmatales","Incertae sedis â<U+0080><U+0093> Family II","Candidatus Phytoplasma","wodyetiae","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01259.pub3","NA:NA:NA:NA:NA:NA","N"
"1319","Tenericutes","Mollicutes","Acholeplasmatales","Incertae sedis â<U+0080><U+0093> Family II","Candidatus Phytoplasma","ziziphi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01259.pub3","NA:NA:NA:NA:NA:NA","N"
"1320","Chlamydiae","Chlamydiia","Chlamydiales","Candidatus Piscichlamydiaceae","Candidatus Piscichlamydia","CandidatusPiscichlamydia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00363","NA:NA:NA:NA:NA:NA","Y"
"1321","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Candidatus Xiphinematobacter","brevicolli","NA","None","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01280","NA:NA:NA:NA:NA:NA","Y"
"1322","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Candidatus Xiphinematobacter","americani","NA","None","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01280","NA:NA:NA:NA:NA:NA","Y"
"1323","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Candidatus Xiphinematobacter","rivesi","NA","None","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01280","NA:NA:NA:NA:NA:NA","Y"
"1324","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Candidimonas","bauzanensis","NA","BZ59, DSM 22805, LMG 26046, CGMCC 1.10190","Go0044204","Gp0113068","2617270875","658167","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Candidimonas","bauzanensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01821","NA:NA:NA:NA:NA:NA","Y"
"1325","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Candidimonas","humi","NA","SC-092, CCUG 55807, LMG 24813","Go0031948","NA","NA","683355","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Candidimonas","humi","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01821","NA:NA:NA:NA:NA:NA","Y"
"1326","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Candidimonas","nitroreducens","NA","SC-089, CCUG 55806, LMG 24812","Go0031947","NA","NA","683354","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Candidimonas","nitroreducens","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01821","NA:NA:NA:NA:NA:NA","Y"
"1327","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Canibacter","oris","NA","IMMIB Q2029717, DSM 27064, CCUG 64069","Go0373416","Gp0220517","2830496992","1365628","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Canibacter","oris","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01297","NA:NA:NA:NA:NA:NA","N"
"1328","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea","NA","25, ATCC 33596","Go0012802","Gp0012802","2531839278","1125719","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00299","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1329","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","canimorsus","NA","ATCC 35979, CDC 7120, CIP 103936, NCTC 12242","Go0468516","Gp0342128","2814123379","28188","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","canimorsus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00299","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1330","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","cynodegmi","NA","E6447, ATCC 49044, CCUG 24742, CIP 103937, LMG 11513, NCTC 12243","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00299","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1331","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","gingivalis","NA","27, ATCC 33624, CCUG 9715, CIP 102945, DSM 3290, JCM 12953, LMG 11514, NCTC 12372","Go0004297","Gp0004297","643886113","553178","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","gingivalis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00299","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1332","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","granulosa","NA","B0611, ATCC 51502, CCUG 32991, CIP 104128, DSM 11449, JCM 8566, LMG 16022, NCTC 12948","Go0265537, Go0143335, Go0006255","Gp0006255, Gp0148867, Gp0341834","2693429885, 2808606723, 2541046980","641143, 45242","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","granulosa","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00299","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1333","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","haemolytica","NA","A0404, ATCC 51501, CCUG 32990, CIP 104125, DSM 11385, JCM 8565, LMG 16021, NCTC 12947","Go0398295, Go0144439, Go0028791","Gp0148759, Gp0150047, Gp0262766","2773858048, 2687453164, 2693429878","45243","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","haemolytica","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00299","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1334","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sputigena","NA","4, ATCC 33612, CCUG 9714, CIP 104301, DSM 7273, LMG 11518, NCTC 11653","Go0290328, Go0004080","Gp0004080, Gp0341797","2814123397, 642979305","553177, 1019","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sputigena","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00299","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1335","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Carbophilus","carboxidus","NA","ATCC 51424, CIP 105722, DSM 1086, Z-1171","Go0030685","NA","NA","376165","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter","carboxidus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00844","NA:NA:NA:NA:NA:NA","N"
"1336","Firmicutes","Clostridia","Clostridiales","incertae Sedis - Family V","Carboxydocella","thermautotrophica","NA","41, DSM 12326, VKM B-2282","Go0003676","NA","NA","178899","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVI. Incertae Sedis","Carboxydocella","thermautotrophica","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00728","NA:NA:NA:NA:NA:NA","N"
"1337","Firmicutes","Clostridia","Clostridiales","incertae Sedis - Family V","Carboxydocella","sporoproducens","NA","Kar, DSM 16521, VKM B-2358","Go0013415","Gp0013415","2568526009","1121270","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVI. Incertae Sedis","Carboxydocella","sporoproducens","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00728","NA:NA:NA:NA:NA:NA","N"
"1338","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Carboxydothermus","hydrogenoformans","NA","Z-2901, DSM 6008, ATCC BAA-161","Go0000437","Gp0000437, Gp0088798","637000060","246194","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Carboxydothermus","hydrogenoformans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00746","NA:NA:NA:NA:NA:NA","N"
"1339","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Carboxydothermus","ferrireducens","NA","JW/AS-Y7, DSM 11255, VKM B-2392","Go0006788","Gp0006788, Gp0440959","2844895905, 2510065088","1119529","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Carboxydothermus","ferrireducens","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00746","NA:NA:NA:NA:NA:NA","N"
"1340","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium","hominis","NA","6573, ATCC 15826, DSM 8339, NCTC 10426","Go0004536","Gp0004536","645951819","638300","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium","hominis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01101","Fermentation:Glucose:Glucose:Glucose:Endogenous:NA","N"
"1341","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Carnimonas","nigrificans","NA","CTCBS1, CECT 4437, CIP 105703, NCIMB 13550","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01188","NA:NA:NA:NA:NA:NA","N"
"1342","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","divergens","NA","66, ATCC 35677, CCUG 30094, CIP 101029, DSM 20623, NBRC 15683, JCM 5816, JCM 9133, LMG 9199, NCIMB 11952, NRRL B-14830","Go0123357, Go0042577","Gp0042577, Gp0131356","2700989267, 2574180433","2748, 1449336","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","divergens","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00593","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1343","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","alterfunditum","NA","pf4, ACAM 313, ATCC 49837, CCUG 34643, CIP 105796, DSM 5972, NBRC 15548, JCM 12498, LMG 13520","Go0042561","Gp0042561","2574179752","28230","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","alterfunditum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00593","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1344","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","funditum","NA","pf3, ACAM 312, ATCC 49836, CCUG 34644, CIP 106503, DSM 5970, NBRC15549, JCM 12499, LMG 14461","Go0042578","Gp0042578","2574179782","2752","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","funditum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00593","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1345","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","gallinarum","NA","MT44, ATCC 49517, CCUG 30095, CIP 103160, DSM 4847, JCM 12517, LMG 9841, NCIMB 12848, NRRL B-14832","Go0042579","Gp0042579","2576861831","2749","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","gallinarum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00593","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1346","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","inhibens","NA","K1, CCUG 31728, CIP 106863, DSM 13024","Go0042580","Gp0042580","2574179783","1449339","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","inhibens","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00593","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1347","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","maltaromaticum","NA","ATCC 27865, CCUG 30142, CIP 103135, DSM 20342, JCM 1154, LMG 6903, NRRL B-14852","Go0240307, Go0042581","Gp0042581","2579778520","2751","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","maltaromaticum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00593","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1348","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","mobile","NA","MT37L, ATCC 49516, CCUG 30096, CIP 103159, DSM 4848, JCM 12516, LMG 9842, NCIMB 12847, NRRL B-14831","Go0042582","Gp0042582","2576861400","2750","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","mobile","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00593","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1349","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","pleistocenium","NA","FTR1, ATCC BAA-754, CIP 108033, JCM 12174","Go0047357","Gp0047357","2576861401","181073","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","pleistocenium","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00593","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1350","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","viridans","NA","MPL-11, ATCC BAA-336, DSM 14451, JCM 12222","Go0042583","Gp0042583","2634166280","174587","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","viridans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00593","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1351","Firmicutes","Bacilli","Bacillales","Planococcaceae","Caryophanon","latum","NA","NCIMB 9533, ATCC 33407, DSM 14151, LMG 17312, KCTC 3403, VKM B-105","Go0552040","Gp0504319","2886957807","33977","Firmicutes","Bacilli","Bacillales","Planococcaceae","Caryophanon","latum","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00556","NA:NA:NA:NA:NA:NA","N"
"1352","Firmicutes","Bacilli","Bacillales","Planococcaceae","Caryophanon","tenue","NA","NCIMB 9535, ATCC 33098, DSM 14152, LMG 17313, KCTC 3404, VKM B-106","Go0552038","Gp0504316","2887284248","33978","Firmicutes","Bacilli","Bacillales","Planococcaceae","Caryophanon","tenue","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00556","NA:NA:NA:NA:NA:NA","N"
"1353","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","citrea","NA","6183-E, ATCC 49964, CIP 107011, DSM 44097, NBRC 14495, JCM 7542, NRRL B-16429, VKM Ac-1421","Go0028999","Gp0220375","2756170263","53366","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","citrea","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00141","NA:NA:NA:NA:NA:NA","N"
"1354","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","bangladeshensis","NA","2-70, 23, JCM 12949, DSM 44899","Go0027021","NA","NA","310355","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","bangladeshensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00141","NA:NA:NA:NA:NA:NA","N"
"1355","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","chokoriensis","NA","2-25, 1, JCM 12950, DSM 44900","Go0027019","NA","NA","310353","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","chokoriensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00141","NA:NA:NA:NA:NA:NA","N"
"1356","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","coxensis","NA","2-29, 17, JCM 12951, DSM 44901","Go0027020","NA","NA","310354","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","coxensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00141","NA:NA:NA:NA:NA:NA","N"
"1357","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","methionotrophica","NA","6257-B, ATCC 49965, CIP 107012, NBRC 14553, NRRL B-16431, VKM Ac-2008, IMSNU 22006, JCM 7543, DSM 44098","Go0028159","NA","NA","121620","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","methionotrophica","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00141","NA:NA:NA:NA:NA:NA","N"
"1358","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium","mitsuokai","NA","RCA14-39, CIP 106738, JCM 10609","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00761","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1359","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","acidiphila","NA","ID139908, DSM 44928, JCM 14897, NBRC 102108, NRRL B-24433","Go0001210","Gp0001210","644736339","479433","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","acidiphila","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00025","NA:NA:NA:NA:NA:NA","N"
"1360","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","rubra","NA","Aac-30, DSM 44948, NBRC 101179","Go0026990","Gp0304953","NA","280293","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","rubra","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00025","NA:NA:NA:NA:NA:NA","N"
"1361","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","subtropica","NA","TT 99-48, KCTC 19328, NBRC 103395.Sequence accession no., 16S rRNA gene, : AB327248","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00025","NA:NA:NA:NA:NA:NA","N"
"1362","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","yoronensis","NA","TT N02-20, KTCT 19327, NBRC 103397","Go0030826","NA","NA","450799","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","yoronensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00025","NA:NA:NA:NA:NA:NA","N"
"1363","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","japonicus","NA","N381-16, NBRC 14176, ATCC 31637, DSM 44102, JCM 9106, VKM Ac-875","Go0093630","Gp0093630","2734481992","1307447","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","japonicus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00142","NA:NA:NA:NA:NA:NA","N"
"1364","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","crispus","NA","JCM 9312, ATCC 51431, DSM 44128, NBRC 15622, IPV 2867, NCB 1173, VKM Ac-1992","Go0028144","Gp0028144","2734481993","1307448","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","crispus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00142","NA:NA:NA:NA:NA:NA","N"
"1365","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","niger","NA","N406-14, NBRC 14177, ATCC 31638, DSM 44711, JCM 9533, VKM Ac-1964","Go0568240, Go0093632","Gp0093632, Gp0538637","2734481994, 2923434343","1307449, 587534","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","niger","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00142","NA:NA:NA:NA:NA:NA","N"
"1366","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","indicus","NA","RA328T, NBRC 15575, IMSNU 22099, ATCC 700014, DSM 44709, JCM 9534, VKM Ac-1999","Go0568238, Go0093629","Gp0093629, Gp0538635","2734481995","1307450, 137267","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","indicus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00142","NA:NA:NA:NA:NA:NA","N"
"1367","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","atrovinosus","NA","RA332T, NBRC 15579, IMSNU 22012, ATCC 700015, DSM 44707, JCM 9535, VKM Ac-1972","Go0568237, Go0093628","Gp0093628, Gp0538634","2923426270, 2681813034","1307451, 137266","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","atrovinosus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00142","NA:NA:NA:NA:NA:NA","N"
"1368","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","castaneus","NA","RA344, NBRC 15584, ATCC 700016, DSM 44708, JCM 9537, VKM Ac-1973","Go0094277","Gp0094277","2734481997","1307453","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","castaneus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00142","NA:NA:NA:NA:NA:NA","N"
"1369","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","nepalensis","NA","RA343, NBRC 15583, ATCC 700017, DSM 44710, JCM 9536, VKM Ac-1996","Go0568239, Go0093631","Gp0093631, Gp0538636","2734481996, 2923674233","1307452, 587533","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catenuloplanes","nepalensis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00142","NA:NA:NA:NA:NA:NA","N"
"1370","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella","morbi","NA","ATCC 51271, VPI D154F-12","Go0004345","Gp0004345","643886188","592026","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella","morbi","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00641","Fermentation:Glucose:Glucose:Glucose:Endogenous:Acetate","N"
"1371","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","vibrioides","NA","CB51, DSM 9893, VKM B-1496","Go0027446","Gp0388944","2851166323","155892","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","vibrioides","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00792","NA:NA:NA:NA:NA:NA","N"
"1372","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","crescentus","NA","CB2, ATCC 15252","Go0032586","NA","NA","155892","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","vibrioides","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00792","NA:NA:NA:NA:NA:NA","N"
"1373","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","fusiformis","NA","CB27, ACM 5108, ATCC 15257, DSM 4728","Go0028470","NA","NA","69396","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","fusiformis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00792","NA:NA:NA:NA:NA:NA","N"
"1374","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","henricii","NA","CB4, ATCC 15253, DSM4730, ACM5105","Go0028469","NA","NA","69395","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","henricii","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00792","NA:NA:NA:NA:NA:NA","N"
"1375","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Cavicella","subterranea","NA","W2.09-231, CECT 8582, LMG 28332","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01904","NA:NA:NA:NA:NA:NA","Y"
